period.number,period.name,period.start.time,period.end.time,period.is.daytime,period.temperature,period.temperature.unit,period.wind.speed,period.wind.direction,period.short.forecast,period.detailed.forecast
1,Labor Day,1567432800,1567461600,TRUE,89,F,13 to 17 mph,N,Isolated Showers And Thunderstorms,"Isolated showers and thunderstorms before 2pm, then a chance of showers and thunderstorms. Mostly sunny, with a high near 89. Heat index values as high as 105. North wind 13 to 17 mph, with gusts as high as 25 mph. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
2,Tonight,1567461600,1567504800,FALSE,78,F,16 mph,N,Chance Showers And Thunderstorms then Partly Cloudy,"A chance of showers and thunderstorms before 8pm, then isolated showers and thunderstorms between 8pm and 11pm. Partly cloudy, with a low around 78. Heat index values as high as 100. North wind around 16 mph, with gusts as high as 25 mph. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
3,Tuesday,1567504800,1567548000,TRUE,89,F,16 to 21 mph,N,Isolated Showers And Thunderstorms,"Isolated showers and thunderstorms between 8am and 2pm, then a chance of showers and thunderstorms. Mostly sunny, with a high near 89. Heat index values as high as 103. North wind 16 to 21 mph, with gusts as high as 30 mph. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
4,Tuesday Night,1567548000,1567591200,FALSE,79,F,NA,NA,Tropical Storm Conditions Possible,"Tropical storm conditions possible. Scattered showers and thunderstorms. Mostly cloudy, with a low around 79. Heat index values as high as 98. Chance of precipitation is 50%."
5,Wednesday,1567591200,1567634400,TRUE,89,F,NA,NA,Tropical Storm Conditions Possible,"Tropical storm conditions possible. Scattered showers and thunderstorms. Partly sunny, with a high near 89. Chance of precipitation is 30%."
6,Wednesday Night,1567634400,1567677600,FALSE,80,F,15 to 18 mph,W,Scattered Showers And Thunderstorms then Isolated Showers And Thunderstorms,"Scattered showers and thunderstorms before 8pm, then isolated showers and thunderstorms between 8pm and 2am. Partly cloudy, with a low around 80. West wind 15 to 18 mph, with gusts as high as 28 mph. Chance of precipitation is 30%."
7,Thursday,1567677600,1567720800,TRUE,91,F,15 to 18 mph,W,Mostly Sunny,"Mostly sunny, with a high near 91. West wind 15 to 18 mph, with gusts as high as 29 mph."
8,Thursday Night,1567720800,1567764000,FALSE,80,F,14 to 17 mph,W,Mostly Clear,"Mostly clear, with a low around 80. West wind 14 to 17 mph, with gusts as high as 25 mph."
9,Friday,1567764000,1567807200,TRUE,90,F,15 mph,W,Sunny,"Sunny, with a high near 90. West wind around 15 mph, with gusts as high as 22 mph."
10,Friday Night,1567807200,1567850400,FALSE,77,F,8 to 13 mph,W,Mostly Clear,"Mostly clear, with a low around 77."
11,Saturday,1567850400,1567893600,TRUE,90,F,9 mph,W,Sunny,"Sunny, with a high near 90."
12,Saturday Night,1567893600,1567936800,FALSE,77,F,6 to 9 mph,WSW,Mostly Clear,"Mostly clear, with a low around 77."
13,Sunday,1567936800,1567980000,TRUE,89,F,8 mph,W,Sunny then Isolated Showers And Thunderstorms,"Isolated showers and thunderstorms after 2pm. Sunny, with a high near 89. Chance of precipitation is 20%."
14,Sunday Night,1567980000,1568023200,FALSE,76,F,8 mph,NNE,Isolated Showers And Thunderstorms,"Isolated showers and thunderstorms. Partly cloudy, with a low around 76. Chance of precipitation is 20%."
