station.id,station.name,station.type,station.url,station.longitude,station.latitude,station.elevation,elevation.units,station.timezone
KPIE,St. Petersburg/Clearwater Airport,wx:ObservationStation,https://api.weather.gov/stations/KPIE,-82.68554,27.91259,0.9144000000000001,unit:m,America/New_York
KTPA,"Tampa, Tampa International Airport",wx:ObservationStation,https://api.weather.gov/stations/KTPA,-82.54028,27.96139,7.9248,unit:m,America/New_York
KSPG,St. Petersburg Whitted Airport,wx:ObservationStation,https://api.weather.gov/stations/KSPG,-82.62633,27.7676,0.9144000000000001,unit:m,America/New_York
KMCF,"Macdill Air Force Base, Fl.",wx:ObservationStation,https://api.weather.gov/stations/KMCF,-82.5,27.85,3.9624,unit:m,America/New_York
KTPF,"Tampa, Peter O Knight Airport",wx:ObservationStation,https://api.weather.gov/stations/KTPF,-82.44917,27.91556,2.1336,unit:m,America/New_York
KVDF,"Tampa, Vandenberg Airport",wx:ObservationStation,https://api.weather.gov/stations/KVDF,-82.3415,28.01983,4.8768,unit:m,America/New_York
KBKV,"Brooksville, Hernando County Airport",wx:ObservationStation,https://api.weather.gov/stations/KBKV,-82.45444,28.47361,22.86,unit:m,America/New_York
KZPH,Zephyrhills Airport,wx:ObservationStation,https://api.weather.gov/stations/KZPH,-82.1559,28.2281,27.432000000000002,unit:m,America/New_York
KSRQ,"Sarasota / Bradenton, Sarasota-Bradenton International Airport",wx:ObservationStation,https://api.weather.gov/stations/KSRQ,-82.55861,27.40139,9.144,unit:m,America/New_York
KLAL,Lakeland Regional,wx:ObservationStation,https://api.weather.gov/stations/KLAL,-82.01667,27.98333,42.976800000000004,unit:m,America/New_York
KCGC,Crystal River Airport,wx:ObservationStation,https://api.weather.gov/stations/KCGC,-82.5712999,28.8673,2.7432000000000003,unit:m,America/New_York
KBOW,Bartow Municipal,wx:ObservationStation,https://api.weather.gov/stations/KBOW,-81.78333,27.95,39.0144,unit:m,America/New_York
KINF,Inverness Airport,wx:ObservationStation,https://api.weather.gov/stations/KINF,-82.3165,28.8086,14.9352,unit:m,America/New_York
KGIF,Winter Havens Gilbert Airport,wx:ObservationStation,https://api.weather.gov/stations/KGIF,-81.75684,28.06138,42.976800000000004,unit:m,America/New_York
KVNC,Venice Municipal Airport,wx:ObservationStation,https://api.weather.gov/stations/KVNC,-82.44033,27.0716,6.096,unit:m,America/New_York
KLEE,Leesburg Regional Airport,wx:ObservationStation,https://api.weather.gov/stations/KLEE,-81.80964,28.82142,20.1168,unit:m,America/New_York
KVVG,The Villages,wx:ObservationStation,https://api.weather.gov/stations/KVVG,-81.9666699,28.96667,27.127200000000002,unit:m,America/New_York
KISM,"Orlando, Kissimmee Municipal Airport",wx:ObservationStation,https://api.weather.gov/stations/KISM,-81.43722,28.28972,24.9936,unit:m,America/New_York
KOCF,"Ocala, Ocala International Airport-Jim Taylor Field",wx:ObservationStation,https://api.weather.gov/stations/KOCF,-82.2166699,29.16667,27.127200000000002,unit:m,America/New_York
