time.stamps,formatted.timestamps,temperature.values,temperature.unit.codes,temperature.quality.controls,dewpoint.values,dewpoint.unit.codes,dewpoint.quality.controls,wind.speed.values,wind.speed.unit.codes,wind.speed.quality.controls,wind.direction.values,wind.direction.unit.codes,wind.direction.quality.controls,wind.gust.values,wind.gust.unit.codes,wind.gust.quality.controls,wind.chill.values,wind.chill.unit.codes,wind.chill.quality.controls,barometric.pressure.values,barometric.pressure.unit.codes,barometric.pressure.quality.controls,sea.level.pressure.values,sea.level.pressure.unit.codes,sea.level.pressure.quality.controls,relative.humidity.values,relative.humidity.unit.codes,relative.humidity.quality.controls,visibility.values,visibility.unit.codes,visibility.quality.controls,heat.index.values,heat.index.unit.codes,heat.index.quality.controls
1567432380,2019-09-02 13:53:00,30,unit:degC,qc:V,24.400000000000034,unit:degC,qc:V,6.2,unit:m_s-1,qc:V,300,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101110,unit:Pa,qc:V,71.99991723394702,unit:percent,qc:C,16090,unit:m,qc:C,35.529958035487084,unit:degC,qc:V
1567428780,2019-09-02 12:53:00,28.900000000000034,unit:degC,qc:V,23.900000000000034,unit:degC,qc:V,5.7,unit:m_s-1,qc:V,280,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101070,unit:Pa,qc:V,74.44971344611369,unit:percent,qc:C,16090,unit:m,qc:C,33.34134504403278,unit:degC,qc:V
1567425180,2019-09-02 11:53:00,28.900000000000034,unit:degC,qc:V,23.900000000000034,unit:degC,qc:V,4.6,unit:m_s-1,qc:V,270,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,100980,unit:Pa,qc:V,74.44971344611369,unit:percent,qc:C,16090,unit:m,qc:C,33.34134504403278,unit:degC,qc:V
1567421580,2019-09-02 10:53:00,28.900000000000034,unit:degC,qc:V,23.900000000000034,unit:degC,qc:V,5.1,unit:m_s-1,qc:V,260,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,100980,unit:Pa,qc:V,74.44971344611369,unit:percent,qc:C,16090,unit:m,qc:C,33.34134504403278,unit:degC,qc:V
1567418520,2019-09-02 10:02:00,28.900000000000034,unit:degC,qc:V,24.400000000000034,unit:degC,qc:V,5.7,unit:m_s-1,qc:V,260,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,76.71712750869004,unit:percent,qc:C,16090,unit:m,qc:C,33.78859246627292,unit:degC,qc:V
1567417980,2019-09-02 09:53:00,28.900000000000034,unit:degC,qc:V,24.400000000000034,unit:degC,qc:V,6.7,unit:m_s-1,qc:V,260,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,100970,unit:Pa,qc:V,76.71712750869004,unit:percent,qc:C,16090,unit:m,qc:C,33.78859246627292,unit:degC,qc:V
1567417320,2019-09-02 09:42:00,28.900000000000034,unit:degC,qc:V,23.900000000000034,unit:degC,qc:V,4.6,unit:m_s-1,qc:V,260,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,74.44971344611369,unit:percent,qc:C,16090,unit:m,qc:C,33.34134504403278,unit:degC,qc:V
1567415940,2019-09-02 09:19:00,28.900000000000034,unit:degC,qc:V,24.400000000000034,unit:degC,qc:V,5.1,unit:m_s-1,qc:V,260,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,76.71712750869004,unit:percent,qc:C,16090,unit:m,qc:C,33.78859246627292,unit:degC,qc:V
1567414380,2019-09-02 08:53:00,28.900000000000034,unit:degC,qc:V,24.400000000000034,unit:degC,qc:V,4.6,unit:m_s-1,qc:V,260,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,100970,unit:Pa,qc:V,76.71712750869004,unit:percent,qc:C,16090,unit:m,qc:C,33.78859246627292,unit:degC,qc:V
1567410780,2019-09-02 07:53:00,28.900000000000034,unit:degC,qc:V,25,unit:degC,qc:V,3.1,unit:m_s-1,qc:V,290,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101000,unit:Pa,qc:V,79.51761252705666,unit:percent,qc:C,16090,unit:m,qc:C,34.36297589655885,unit:degC,qc:V
1567407180,2019-09-02 06:53:00,29.400000000000034,unit:degC,qc:V,24.400000000000034,unit:degC,qc:V,3.6,unit:m_s-1,qc:V,310,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,100990,unit:Pa,qc:V,74.53106351804931,unit:percent,qc:C,16090,unit:m,qc:C,34.59901247784177,unit:degC,qc:V
1567403580,2019-09-02 05:53:00,28.900000000000034,unit:degC,qc:V,23.900000000000034,unit:degC,qc:V,2.6,unit:m_s-1,qc:V,300,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101070,unit:Pa,qc:V,74.44971344611369,unit:percent,qc:C,16090,unit:m,qc:C,33.34134504403278,unit:degC,qc:V
