station.ids,time.stamps,latitudes,longitudes,temperature.values,temperature.unit.codes,temperature.quality.controls,dewpoint.values,dewpoint.unit.codes,dewpoint.quality.controls,wind.speed.values,wind.speed.unit.codes,wind.speed.quality.controls,wind.direction.values,wind.direction.unit.codes,wind.direction.quality.controls,wind.gust.values,wind.gust.unit.codes,wind.gust.quality.controls,wind.chill.values,wind.chill.unit.codes,wind.chill.quality.controls,barometric.pressure.values,barometric.pressure.unit.codes,barometric.pressure.quality.controls,sea.level.pressure.values,sea.level.pressure.unit.codes,sea.level.pressure.quality.controls,relative.humidity.values,relative.humidity.unit.codes,relative.humidity.quality.controls,visibility.values,visibility.unit.codes,visibility.quality.controls,heat.index.values,heat.index.unit.codes,heat.index.quality.controls
KEYW,1567432380,24.55707,-81.75539,30,unit:degC,qc:V,24.400000000000034,unit:degC,qc:V,6.2,unit:m_s-1,qc:V,300,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101110,unit:Pa,qc:V,71.99991723394702,unit:percent,qc:C,16090,unit:m,qc:C,35.529958035487084,unit:degC,qc:V
KNQX,1567432380,24.5800899,-81.68293,30,unit:degC,qc:V,25.600000000000023,unit:degC,qc:V,5.7,unit:m_s-1,qc:V,310,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101080,unit:Pa,qc:V,77.34004848379672,unit:percent,qc:C,16090,unit:m,qc:C,36.92643378956325,unit:degC,qc:V
KMTH,1567432380,24.7258299,-81.04778,29.400000000000034,unit:degC,qc:V,25.600000000000023,unit:degC,qc:V,7.7,unit:m_s-1,qc:V,280,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101030,unit:Pa,qc:V,80.05892628050277,unit:percent,qc:C,12870,unit:m,qc:C,35.89198025097312,unit:degC,qc:V
KHST,1567432860,25.48333,-80.38333,28,unit:degC,qc:V,25,unit:degC,qc:V,7.2,unit:m_s-1,qc:V,270,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,100840,unit:Pa,qc:V,83.78747242805218,unit:percent,qc:C,16090,unit:m,qc:C,32.69805745927778,unit:degC,qc:V
KAPF,1567432380,26.15,-81.76667,30,unit:degC,qc:V,25.600000000000023,unit:degC,qc:V,4.6,unit:m_s-1,qc:V,320,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101020,unit:Pa,qc:V,77.34004848379672,unit:percent,qc:C,16090,unit:m,qc:C,36.92643378956325,unit:degC,qc:V
KTMB,1567432380,25.64194,-80.43472,28.30000000000001,unit:degC,qc:V,25.600000000000023,unit:degC,qc:V,8.2,unit:m_s-1,qc:V,290,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,100820,unit:Pa,qc:V,85.3280598548015,unit:percent,qc:C,16090,unit:m,qc:C,33.81738879957237,unit:degC,qc:V
KMIA,1567432380,25.79056,-80.31639,28.30000000000001,unit:degC,qc:V,23.900000000000034,unit:degC,qc:V,6.2,unit:m_s-1,qc:V,280,unit:degree_(angle),qc:V,10.8,unit:m_s-1,qc:S,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,100790,unit:Pa,qc:V,77.08859410758245,unit:percent,qc:C,16090,unit:m,qc:C,32.36961423834532,unit:degC,qc:V
KOPF,1567432680,25.91,-80.28306,27.80000000000001,unit:degC,qc:V,24.400000000000034,unit:degC,qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,81.78554248299687,unit:percent,qc:C,16090,unit:m,qc:C,31.8608894054841,unit:degC,qc:V
KHWO,1567432380,25.99889,-80.24111,27.200000000000045,unit:degC,qc:V,24.400000000000034,unit:degC,qc:V,7.2,unit:m_s-1,qc:V,280,unit:degree_(angle),qc:V,11.8,unit:m_s-1,qc:S,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,100770,unit:Pa,qc:V,84.70848130440807,unit:percent,qc:C,11270,unit:m,qc:C,30.701723953691157,unit:degC,qc:V
KFLL,1567433160,26.06806,-80.1525,26.700000000000045,unit:degC,qc:V,24.400000000000034,unit:degC,qc:V,5.7,unit:m_s-1,qc:V,290,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,87.23431438491659,unit:percent,qc:C,4830,unit:m,qc:C,29.662393137591266,unit:degC,qc:V
KFXE,1567432380,26.2,-80.18333,26.700000000000045,unit:degC,qc:V,24.400000000000034,unit:degC,qc:V,5.7,unit:m_s-1,qc:V,290,unit:degree_(angle),qc:V,10.8,unit:m_s-1,qc:S,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,100690,unit:Pa,qc:V,87.23431438491659,unit:percent,qc:C,16090,unit:m,qc:C,29.662393137591266,unit:degC,qc:V
