period.number,period.name,period.start.time,period.end.time,period.is.daytime,period.temperature,period.temperature.unit,period.wind.speed,period.wind.direction,period.short.forecast,period.detailed.forecast
1,Today,1563876000,1563919200,TRUE,91,F,0 to 5 mph,S,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms before 8am, then a chance of showers and thunderstorms. Mostly sunny, with a high near 91. South wind 0 to 5 mph. Chance of precipitation is 40%."
2,Tonight,1563919200,1563962400,FALSE,82,F,0 to 5 mph,SW,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Partly cloudy, with a low around 82. Southwest wind 0 to 5 mph. Chance of precipitation is 40%."
3,Wednesday,1563962400,1564005600,TRUE,91,F,5 mph,SW,Slight Chance Showers And Thunderstorms then Chance Showers And Thunderstorms,"A slight chance of showers and thunderstorms before 8am, then a chance of showers and thunderstorms. Mostly sunny, with a high near 91. Southwest wind around 5 mph. Chance of precipitation is 40%."
4,Wednesday Night,1564005600,1564048800,FALSE,82,F,0 to 5 mph,SW,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Partly cloudy, with a low around 82. Southwest wind 0 to 5 mph. Chance of precipitation is 40%."
5,Thursday,1564048800,1564092000,TRUE,91,F,5 mph,S,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Mostly sunny, with a high near 91. South wind around 5 mph. Chance of precipitation is 30%."
6,Thursday Night,1564092000,1564135200,FALSE,83,F,0 to 5 mph,E,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Mostly cloudy, with a low around 83. Chance of precipitation is 30%."
7,Friday,1564135200,1564178400,TRUE,91,F,5 to 10 mph,E,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Mostly sunny, with a high near 91. Chance of precipitation is 30%."
8,Friday Night,1564178400,1564221600,FALSE,83,F,10 mph,E,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Partly cloudy, with a low around 83. Chance of precipitation is 20%."
9,Saturday,1564221600,1564264800,TRUE,91,F,10 mph,E,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Mostly sunny, with a high near 91. Chance of precipitation is 30%."
10,Saturday Night,1564264800,1564308000,FALSE,83,F,5 to 10 mph,E,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Partly cloudy, with a low around 83. Chance of precipitation is 30%."
11,Sunday,1564308000,1564351200,TRUE,91,F,5 to 10 mph,E,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Mostly sunny, with a high near 91. Chance of precipitation is 30%."
12,Sunday Night,1564351200,1564394400,FALSE,83,F,5 to 10 mph,E,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Partly cloudy, with a low around 83. Chance of precipitation is 30%."
13,Monday,1564394400,1564437600,TRUE,91,F,5 to 10 mph,E,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Mostly sunny, with a high near 91. Chance of precipitation is 30%."
14,Monday Night,1564437600,1564480800,FALSE,83,F,10 mph,E,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Partly cloudy, with a low around 83. Chance of precipitation is 30%."
