station.id,station.name,station.type,station.url,station.longitude,station.latitude,station.elevation,elevation.units,station.timezone
KEYW,Key West International Airport,wx:ObservationStation,https://api.weather.gov/stations/KEYW,-81.75539,24.55707,0.9144000000000001,unit:m,America/New_York
KNQX,Key West Naval Air Station,wx:ObservationStation,https://api.weather.gov/stations/KNQX,-81.68293,24.5800899,0.9144000000000001,unit:m,America/New_York
KMTH,"Marathon, Marathon Airport",wx:ObservationStation,https://api.weather.gov/stations/KMTH,-81.04778,24.7258299,2.1336,unit:m,America/New_York
KHST,Homestead Air Force Base,wx:ObservationStation,https://api.weather.gov/stations/KHST,-80.38333,25.48333,2.1336,unit:m,America/New_York
KAPF,"Naples, Naples Municipal Airport",wx:ObservationStation,https://api.weather.gov/stations/KAPF,-81.76667,26.15,2.1336,unit:m,America/New_York
KTMB,"Miami, Kendall-Tamiami Executive Airport",wx:ObservationStation,https://api.weather.gov/stations/KTMB,-80.43472,25.64194,3.048,unit:m,America/New_York
KMIA,"Miami, Miami International Airport",wx:ObservationStation,https://api.weather.gov/stations/KMIA,-80.31639,25.79056,3.048,unit:m,America/New_York
KOPF,"Miami, Opa Locka Airport",wx:ObservationStation,https://api.weather.gov/stations/KOPF,-80.28306,25.91,3.048,unit:m,America/New_York
KHWO,"Hollywood, North Perry Airport",wx:ObservationStation,https://api.weather.gov/stations/KHWO,-80.24111,25.99889,2.1336,unit:m,America/New_York
KFLL,"Fort Lauderdale, Fort Lauderdale / Hollywood International Airport",wx:ObservationStation,https://api.weather.gov/stations/KFLL,-80.1525,26.06806,3.048,unit:m,America/New_York
KFXE,"Fort Lauderdale, Fort Lauderdale Executive Airport",wx:ObservationStation,https://api.weather.gov/stations/KFXE,-80.18333,26.2,3.9624,unit:m,America/New_York
