period.number,period.name,period.start.time,period.end.time,period.is.daytime,period.temperature,period.temperature.unit,period.wind.speed,period.wind.direction,period.short.forecast,period.detailed.forecast
1,Today,1563876000,1563919200,TRUE,89,F,1 to 9 mph,SSW,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms after 8am. Mostly sunny. High near 89, with temperatures falling to around 85 in the afternoon. Heat index values as high as 97. South southwest wind 1 to 9 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
2,Tonight,1563919200,1563962400,FALSE,75,F,3 to 10 mph,SW,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms. Partly cloudy, with a low around 75. Southwest wind 3 to 10 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
3,Wednesday,1563962400,1564005600,TRUE,87,F,3 to 13 mph,SW,Widespread Showers And Thunderstorms,"Widespread showers and thunderstorms. Partly sunny. High near 87, with temperatures falling to around 82 in the afternoon. Southwest wind 3 to 13 mph, with gusts as high as 21 mph. Chance of precipitation is 80%. New rainfall amounts between a half and three quarters of an inch possible."
4,Wednesday Night,1564005600,1564048800,FALSE,74,F,3 to 10 mph,WSW,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Mostly cloudy, with a low around 74. West southwest wind 3 to 10 mph, with gusts as high as 18 mph. Chance of precipitation is 70%."
5,Thursday,1564048800,1564092000,TRUE,87,F,3 to 9 mph,WSW,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Mostly cloudy, with a high near 87. West southwest wind 3 to 9 mph. Chance of precipitation is 70%."
6,Thursday Night,1564092000,1564135200,FALSE,73,F,1 to 8 mph,SW,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Mostly cloudy, with a low around 73. Southwest wind 1 to 8 mph. Chance of precipitation is 70%."
7,Friday,1564135200,1564178400,TRUE,90,F,1 to 7 mph,WSW,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Mostly sunny, with a high near 90. West southwest wind 1 to 7 mph. Chance of precipitation is 60%."
8,Friday Night,1564178400,1564221600,FALSE,73,F,1 to 7 mph,NE,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms before 2am. Partly cloudy, with a low around 73. Northeast wind 1 to 7 mph. Chance of precipitation is 60%."
9,Saturday,1564221600,1564264800,TRUE,92,F,2 to 6 mph,ENE,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms after 8am. Mostly sunny, with a high near 92. East northeast wind 2 to 6 mph. Chance of precipitation is 60%."
10,Saturday Night,1564264800,1564308000,FALSE,74,F,2 to 6 mph,ENE,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Partly cloudy, with a low around 74. Chance of precipitation is 60%."
11,Sunday,1564308000,1564351200,TRUE,93,F,2 to 6 mph,NE,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms. Mostly sunny, with a high near 93. Chance of precipitation is 50%."
12,Sunday Night,1564351200,1564394400,FALSE,73,F,2 to 6 mph,NE,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms. Mostly cloudy, with a low around 73. Chance of precipitation is 50%."
13,Monday,1564394400,1564437600,TRUE,92,F,2 to 6 mph,NE,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms. Mostly sunny, with a high near 92. Chance of precipitation is 50%."
14,Monday Night,1564437600,1564480800,FALSE,73,F,2 to 6 mph,ENE,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms before 2am. Partly cloudy, with a low around 73. Chance of precipitation is 50%."
