station.ids,time.stamps,latitudes,longitudes,temperature.values,temperature.unit.codes,temperature.quality.controls,dewpoint.values,dewpoint.unit.codes,dewpoint.quality.controls,wind.speed.values,wind.speed.unit.codes,wind.speed.quality.controls,wind.direction.values,wind.direction.unit.codes,wind.direction.quality.controls,wind.gust.values,wind.gust.unit.codes,wind.gust.quality.controls,wind.chill.values,wind.chill.unit.codes,wind.chill.quality.controls,barometric.pressure.values,barometric.pressure.unit.codes,barometric.pressure.quality.controls,sea.level.pressure.values,sea.level.pressure.unit.codes,sea.level.pressure.quality.controls,relative.humidity.values,relative.humidity.unit.codes,relative.humidity.quality.controls,visibility.values,visibility.unit.codes,visibility.quality.controls,heat.index.values,heat.index.unit.codes,heat.index.quality.controls
KPNS,1567432380,30.47806,-87.18694,27.200000000000045,unit:degC,qc:V,24.400000000000034,unit:degC,qc:V,3.1,unit:m_s-1,qc:V,59.99999999999999,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101580,unit:Pa,qc:V,84.70848130440807,unit:percent,qc:C,16090,unit:m,qc:C,30.701723953691157,unit:degC,qc:V
KNPA,1567432560,30.35641,-87.32326,27.80000000000001,unit:degC,qc:S,24.400000000000034,unit:degC,qc:S,5.1,unit:m_s-1,qc:S,59.99999999999999,unit:degree_(angle),qc:S,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:S,101570,unit:Pa,qc:S,81.78554248299687,unit:percent,qc:C,16090,unit:m,qc:C,31.8608894054841,unit:degC,qc:V
KNSE,1567432560,30.72848,-87.02192,26.700000000000045,unit:degC,qc:V,23.30000000000001,unit:degC,qc:V,2.1,unit:m_s-1,qc:V,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101490,unit:Pa,qc:V,81.65039907186703,unit:percent,qc:C,16090,unit:m,qc:C,29.215286764712516,unit:degC,qc:V
KVPS,1567432560,30.48333,-86.51667,26.30000000000001,unit:degC,qc:V,22.5,unit:degC,qc:V,4.1,unit:m_s-1,qc:V,59.99999999999999,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101650,unit:Pa,qc:V,79.64480263005235,unit:percent,qc:C,16090,unit:m,qc:C,28.238517121906682,unit:degC,qc:V
KDTS,1567432380,30.39333,-86.4675,26.100000000000023,unit:degC,qc:V,22.80000000000001,unit:degC,qc:V,4.1,unit:m_s-1,qc:V,80,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101560,unit:Pa,qc:V,82.07222228654994,unit:percent,qc:C,16090,unit:m,qc:C,27.94834146661526,unit:degC,qc:V
KBFM,1567432380,30.61389,-88.0633299,28.30000000000001,unit:degC,qc:V,23.900000000000034,unit:degC,qc:V,3.6,unit:m_s-1,qc:V,29.999999999999996,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101650,unit:Pa,qc:V,77.08859410758245,unit:percent,qc:C,16090,unit:m,qc:C,32.36961423834532,unit:degC,qc:V
KCEW,1567432380,30.77222,-86.52,25.600000000000023,unit:degC,qc:V,22.80000000000001,unit:degC,qc:V,3.1,unit:m_s-1,qc:V,70,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101640,unit:Pa,qc:V,84.53980982614371,unit:percent,qc:C,16090,unit:m,qc:C,26.422983923238235,unit:degC,qc:V
KMOB,1567432560,30.68833,-88.24556,27.200000000000045,unit:degC,qc:V,23.900000000000034,unit:degC,qc:V,4.1,unit:m_s-1,qc:V,40,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101610,unit:Pa,qc:V,82.2048786805045,unit:percent,qc:C,11270,unit:m,qc:C,30.4256303481165,unit:degC,qc:V
KGZH,1567432860,31.41889,-87.04806,26.100000000000023,unit:degC,qc:V,22.200000000000045,unit:degC,qc:V,2.1,unit:m_s-1,qc:V,59.99999999999999,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,79.13454571233375,unit:percent,qc:C,16090,unit:m,qc:C,27.822634461996927,unit:degC,qc:V
KPQL,1567432380,30.46305,-88.53155,27.80000000000001,unit:degC,qc:V,23.30000000000001,unit:degC,qc:V,3.6,unit:m_s-1,qc:V,40,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101600,unit:Pa,qc:V,76.55040598565729,unit:percent,qc:C,16090,unit:m,qc:C,31.127136238505784,unit:degC,qc:V
