period.number,period.name,period.start.time,period.end.time,period.is.daytime,period.temperature,period.temperature.unit,period.wind.speed,period.wind.direction,period.short.forecast,period.detailed.forecast
1,Overnight,1563876000,1563879600,FALSE,76,F,5 mph,SW,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Some of the storms could produce heavy rain. Mostly cloudy, with a low around 76. Southwest wind around 5 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
2,Tuesday,1563879600,1563922800,TRUE,87,F,5 to 10 mph,W,Chance Showers And Thunderstorms then Showers And Thunderstorms,"A chance of showers and thunderstorms before 7am, then showers and thunderstorms. Some of the storms could produce heavy rain. Mostly cloudy. High near 87, with temperatures falling to around 81 in the afternoon. West wind 5 to 10 mph. Chance of precipitation is 90%. New rainfall amounts between 1 and 2 inches possible."
3,Tuesday Night,1563922800,1563966000,FALSE,70,F,5 mph,NW,Showers And Thunderstorms,"Showers and thunderstorms. Some of the storms could produce heavy rain. Mostly cloudy, with a low around 70. Northwest wind around 5 mph. Chance of precipitation is 90%. New rainfall amounts between 1 and 2 inches possible."
4,Wednesday,1563966000,1564009200,TRUE,90,F,5 mph,N,Chance Showers And Thunderstorms then Mostly Sunny,"A chance of showers and thunderstorms before 7am. Mostly sunny, with a high near 90. North wind around 5 mph. Chance of precipitation is 30%."
5,Wednesday Night,1564009200,1564052400,FALSE,71,F,5 mph,N,Partly Cloudy,"Partly cloudy, with a low around 71. North wind around 5 mph."
6,Thursday,1564052400,1564095600,TRUE,89,F,5 to 10 mph,E,Slight Chance Rain Showers then Slight Chance Showers And Thunderstorms,"A slight chance of rain showers between 7am and 1pm, then a slight chance of showers and thunderstorms. Mostly sunny, with a high near 89. East wind 5 to 10 mph. Chance of precipitation is 20%."
7,Thursday Night,1564095600,1564138800,FALSE,73,F,5 mph,E,Slight Chance Showers And Thunderstorms,"A slight chance of showers and thunderstorms. Mostly cloudy, with a low around 73. East wind around 5 mph. Chance of precipitation is 20%."
8,Friday,1564138800,1564182000,TRUE,89,F,5 mph,E,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Mostly sunny, with a high near 89. East wind around 5 mph. Chance of precipitation is 30%."
9,Friday Night,1564182000,1564225200,FALSE,73,F,0 to 5 mph,SE,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Mostly cloudy, with a low around 73. Southeast wind 0 to 5 mph. Chance of precipitation is 30%."
10,Saturday,1564225200,1564268400,TRUE,88,F,5 mph,SE,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Partly sunny, with a high near 88. Chance of precipitation is 40%."
11,Saturday Night,1564268400,1564311600,FALSE,73,F,0 to 5 mph,SE,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Mostly cloudy, with a low around 73. Chance of precipitation is 40%."
12,Sunday,1564311600,1564354800,TRUE,89,F,0 to 5 mph,SE,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Partly sunny, with a high near 89. Chance of precipitation is 40%."
13,Sunday Night,1564354800,1564398000,FALSE,74,F,0 to 5 mph,W,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Mostly cloudy, with a low around 74. Chance of precipitation is 40%."
14,Monday,1564398000,1564441200,TRUE,90,F,5 mph,SE,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Partly sunny, with a high near 90. Chance of precipitation is 40%."
