station.ids,time.stamps,latitudes,longitudes,temperature.values,temperature.unit.codes,temperature.quality.controls,dewpoint.values,dewpoint.unit.codes,dewpoint.quality.controls,wind.speed.values,wind.speed.unit.codes,wind.speed.quality.controls,wind.direction.values,wind.direction.unit.codes,wind.direction.quality.controls,wind.gust.values,wind.gust.unit.codes,wind.gust.quality.controls,wind.chill.values,wind.chill.unit.codes,wind.chill.quality.controls,barometric.pressure.values,barometric.pressure.unit.codes,barometric.pressure.quality.controls,sea.level.pressure.values,sea.level.pressure.unit.codes,sea.level.pressure.quality.controls,relative.humidity.values,relative.humidity.unit.codes,relative.humidity.quality.controls,visibility.values,visibility.unit.codes,visibility.quality.controls,heat.index.values,heat.index.unit.codes,heat.index.quality.controls
KTPA,1563868380,27.96139,-82.54028,24.400000000000034,unit:degC,qc:V,21.700000000000045,unit:degC,qc:V,2.6,unit:m_s-1,qc:V,80,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101460,unit:Pa,qc:V,84.9292101215456,unit:percent,qc:C,16090,unit:m,qc:C,25.113151597618184,unit:degC,qc:V
KPIE,1563868380,27.91259,-82.68554,24.400000000000034,unit:degC,qc:V,23.30000000000001,unit:degC,qc:V,1.5,unit:m_s-1,qc:V,80,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101430,unit:Pa,qc:V,93.59894629490542,unit:percent,qc:C,16090,unit:m,qc:C,25.33952804214482,unit:degC,qc:V
KTPF,1563868500,27.91556,-82.44917,NA,unit:degC,qc:Z,NA,unit:degC,qc:Z,2.6,unit:m_s-1,qc:V,80,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,NA,unit:percent,qc:C,16090,unit:m,qc:C,NA,unit:degC,qc:V
KMCF,1563868560,27.85,-82.5,24.400000000000034,unit:degC,qc:V,23,unit:degC,qc:V,3.1,unit:m_s-1,qc:V,100,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101480,unit:Pa,qc:V,91.91672354601134,unit:percent,qc:C,16090,unit:m,qc:C,25.29560333703472,unit:degC,qc:V
KVDF,1563869700,28.01983,-82.3415,NA,unit:degC,qc:Z,NA,unit:degC,qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,NA,unit:Pa,qc:Z,NA,unit:Pa,qc:Z,NA,unit:percent,qc:C,16090,unit:m,qc:C,NA,unit:degC,qc:V
KSPG,1563868380,27.7676,-82.62633,26.100000000000023,unit:degC,qc:V,22.80000000000001,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101380,unit:Pa,qc:V,82.07222228654994,unit:percent,qc:C,16090,unit:m,qc:C,27.94834146661526,unit:degC,qc:V
KZPH,1563868500,28.2281,-82.1559,21.80000000000001,unit:degC,qc:V,21.600000000000023,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,98.78508413994875,unit:percent,qc:C,16090,unit:m,qc:C,22.61494386365422,unit:degC,qc:V
KBKV,1563868380,28.47361,-82.45444,22.200000000000045,unit:degC,qc:V,21.100000000000023,unit:degC,qc:V,2.1,unit:m_s-1,qc:V,100,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101460,unit:Pa,qc:V,93.49564966969403,unit:percent,qc:C,16090,unit:m,qc:C,22.91683085248644,unit:degC,qc:V
KLAL,1563868500,27.98333,-82.01667,23,unit:degC,qc:V,22,unit:degC,qc:V,1.5,unit:m_s-1,qc:V,90,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,94.10581804007525,unit:percent,qc:C,16090,unit:m,qc:C,23.812763026602,unit:degC,qc:V
KSRQ,1563868380,27.40139,-82.55861,23.900000000000034,unit:degC,qc:V,23.30000000000001,unit:degC,qc:V,1.5,unit:m_s-1,qc:V,130,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101370,unit:Pa,qc:V,96.44956260016502,unit:percent,qc:C,16090,unit:m,qc:C,24.863960801226597,unit:degC,qc:V
