period.number,period.name,period.start.time,period.end.time,period.is.daytime,period.temperature,period.temperature.unit,period.wind.speed,period.wind.direction,period.short.forecast,period.detailed.forecast
1,Today,1563894000,1563919200,TRUE,88,F,6 to 9 mph,SSW,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms. Partly sunny, with a high near 88. South southwest wind 6 to 9 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
2,Tonight,1563919200,1563962400,FALSE,76,F,6 to 9 mph,SW,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms. Partly cloudy, with a low around 76. Southwest wind 6 to 9 mph. Chance of precipitation is 50%. New rainfall amounts less than a tenth of an inch possible."
3,Wednesday,1563962400,1564005600,TRUE,87,F,6 to 14 mph,WSW,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Partly sunny. High near 87, with temperatures falling to around 83 in the afternoon. West southwest wind 6 to 14 mph, with gusts as high as 22 mph. Chance of precipitation is 70%. New rainfall amounts between a half and three quarters of an inch possible."
4,Wednesday Night,1564005600,1564048800,FALSE,76,F,6 to 13 mph,WSW,Widespread Showers And Thunderstorms,"Widespread showers and thunderstorms. Mostly cloudy, with a low around 76. West southwest wind 6 to 13 mph, with gusts as high as 21 mph. Chance of precipitation is 80%."
5,Thursday,1564048800,1564092000,TRUE,87,F,6 to 10 mph,WSW,Widespread Showers And Thunderstorms,"Widespread showers and thunderstorms. Mostly cloudy, with a high near 87. West southwest wind 6 to 10 mph. Chance of precipitation is 80%."
6,Thursday Night,1564092000,1564135200,FALSE,76,F,2 to 9 mph,SW,Chance Showers And Thunderstorms,"A chance of showers and thunderstorms. Mostly cloudy, with a low around 76. Southwest wind 2 to 9 mph. Chance of precipitation is 70%."
7,Friday,1564135200,1564178400,TRUE,90,F,1 to 7 mph,SSW,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms. Mostly sunny, with a high near 90. South southwest wind 1 to 7 mph. Chance of precipitation is 50%."
8,Friday Night,1564178400,1564221600,FALSE,76,F,2 to 7 mph,NNE,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms. Partly cloudy, with a low around 76. North northeast wind 2 to 7 mph. Chance of precipitation is 50%."
9,Saturday,1564221600,1564264800,TRUE,91,F,2 to 6 mph,ENE,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms. Mostly sunny, with a high near 91. East northeast wind 2 to 6 mph. Chance of precipitation is 50%."
10,Saturday Night,1564264800,1564308000,FALSE,75,F,6 mph,NE,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms. Partly cloudy, with a low around 75. Chance of precipitation is 50%."
11,Sunday,1564308000,1564351200,TRUE,91,F,6 mph,NE,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms. Mostly sunny, with a high near 91. Chance of precipitation is 50%."
12,Sunday Night,1564351200,1564394400,FALSE,75,F,3 to 7 mph,NE,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms. Mostly cloudy, with a low around 75. Chance of precipitation is 50%."
13,Monday,1564394400,1564437600,TRUE,91,F,3 to 7 mph,NE,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms. Mostly sunny, with a high near 91. Chance of precipitation is 40%."
14,Monday Night,1564437600,1564480800,FALSE,75,F,7 mph,ENE,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms before 2am. Partly cloudy, with a low around 75. Chance of precipitation is 40%."
