period.number,period.name,period.start.time,period.end.time,period.is.daytime,period.temperature,period.temperature.unit,period.wind.speed,period.wind.direction,period.short.forecast,period.detailed.forecast
1,,1563894000,1563897600,TRUE,85,F,6 mph,S,Scattered Showers And Thunderstorms,
2,,1563897600,1563901200,TRUE,85,F,7 mph,S,Scattered Showers And Thunderstorms,
3,,1563901200,1563904800,TRUE,85,F,7 mph,SW,Scattered Showers And Thunderstorms,
4,,1563904800,1563908400,TRUE,85,F,9 mph,SW,Scattered Showers And Thunderstorms,
5,,1563908400,1563912000,TRUE,85,F,9 mph,SW,Scattered Showers And Thunderstorms,
6,,1563912000,1563915600,TRUE,85,F,9 mph,SW,Scattered Showers And Thunderstorms,
7,,1563915600,1563919200,TRUE,85,F,9 mph,SW,Scattered Showers And Thunderstorms,
8,,1563919200,1563922800,FALSE,84,F,9 mph,SW,Scattered Showers And Thunderstorms,
9,,1563922800,1563926400,FALSE,82,F,9 mph,W,Scattered Showers And Thunderstorms,
10,,1563926400,1563930000,FALSE,81,F,8 mph,W,Isolated Showers And Thunderstorms,
11,,1563930000,1563933600,FALSE,79,F,8 mph,W,Isolated Showers And Thunderstorms,
12,,1563933600,1563937200,FALSE,79,F,6 mph,SW,Isolated Showers And Thunderstorms,
13,,1563937200,1563940800,FALSE,79,F,6 mph,SW,Isolated Showers And Thunderstorms,
14,,1563940800,1563944400,FALSE,79,F,6 mph,SW,Isolated Showers And Thunderstorms,
15,,1563944400,1563948000,FALSE,79,F,6 mph,SW,Isolated Showers And Thunderstorms,
16,,1563948000,1563951600,FALSE,78,F,6 mph,SW,Scattered Showers And Thunderstorms,
17,,1563951600,1563955200,FALSE,78,F,6 mph,SW,Scattered Showers And Thunderstorms,
18,,1563955200,1563958800,FALSE,78,F,6 mph,SW,Scattered Showers And Thunderstorms,
19,,1563958800,1563962400,FALSE,78,F,6 mph,SW,Scattered Showers And Thunderstorms,
20,,1563962400,1563966000,TRUE,78,F,6 mph,SW,Scattered Showers And Thunderstorms,
21,,1563966000,1563969600,TRUE,78,F,6 mph,SW,Scattered Showers And Thunderstorms,
22,,1563969600,1563973200,TRUE,79,F,7 mph,SW,Chance Showers And Thunderstorms,
23,,1563973200,1563976800,TRUE,81,F,9 mph,SW,Chance Showers And Thunderstorms,
24,,1563976800,1563980400,TRUE,83,F,10 mph,SW,Chance Showers And Thunderstorms,
25,,1563980400,1563984000,TRUE,83,F,12 mph,SW,Chance Showers And Thunderstorms,
26,,1563984000,1563987600,TRUE,84,F,13 mph,SW,Chance Showers And Thunderstorms,
27,,1563987600,1563991200,TRUE,84,F,13 mph,WSW,Chance Showers And Thunderstorms,
28,,1563991200,1563994800,TRUE,83,F,14 mph,WSW,Chance Showers And Thunderstorms,
29,,1563994800,1563998400,TRUE,83,F,14 mph,WSW,Chance Showers And Thunderstorms,
30,,1563998400,1564002000,TRUE,84,F,14 mph,W,Chance Showers And Thunderstorms,
31,,1564002000,1564005600,TRUE,83,F,14 mph,W,Chance Showers And Thunderstorms,
32,,1564005600,1564009200,FALSE,82,F,13 mph,W,Chance Showers And Thunderstorms,
33,,1564009200,1564012800,FALSE,80,F,10 mph,W,Chance Showers And Thunderstorms,
34,,1564012800,1564016400,FALSE,79,F,9 mph,W,Widespread Showers And Thunderstorms,
35,,1564016400,1564020000,FALSE,78,F,8 mph,WSW,Widespread Showers And Thunderstorms,
36,,1564020000,1564023600,FALSE,78,F,7 mph,WSW,Widespread Showers And Thunderstorms,
37,,1564023600,1564027200,FALSE,78,F,6 mph,SW,Widespread Showers And Thunderstorms,
38,,1564027200,1564030800,FALSE,78,F,6 mph,SW,Widespread Showers And Thunderstorms,
39,,1564030800,1564034400,FALSE,77,F,6 mph,SW,Widespread Showers And Thunderstorms,
40,,1564034400,1564038000,FALSE,77,F,6 mph,SW,Chance Showers And Thunderstorms,
41,,1564038000,1564041600,FALSE,77,F,6 mph,SW,Chance Showers And Thunderstorms,
42,,1564041600,1564045200,FALSE,77,F,7 mph,SW,Chance Showers And Thunderstorms,
43,,1564045200,1564048800,FALSE,77,F,6 mph,SW,Chance Showers And Thunderstorms,
