station.ids,time.stamps,latitudes,longitudes,temperature.values,temperature.unit.codes,temperature.quality.controls,dewpoint.values,dewpoint.unit.codes,dewpoint.quality.controls,wind.speed.values,wind.speed.unit.codes,wind.speed.quality.controls,wind.direction.values,wind.direction.unit.codes,wind.direction.quality.controls,wind.gust.values,wind.gust.unit.codes,wind.gust.quality.controls,wind.chill.values,wind.chill.unit.codes,wind.chill.quality.controls,barometric.pressure.values,barometric.pressure.unit.codes,barometric.pressure.quality.controls,sea.level.pressure.values,sea.level.pressure.unit.codes,sea.level.pressure.quality.controls,relative.humidity.values,relative.humidity.unit.codes,relative.humidity.quality.controls,visibility.values,visibility.unit.codes,visibility.quality.controls,heat.index.values,heat.index.unit.codes,heat.index.quality.controls
KLAL,1563655800,27.98333,-82.01667,30,unit:degC,qc:V,21,unit:degC,qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,58.581385103970746,unit:percent,qc:C,16090,unit:m,qc:C,32.55335078533511,unit:degC,qc:V
KBOW,1563653400,27.95,-81.78333,24,unit:degC,qc:V,22,unit:degC,qc:V,2.6,unit:m_s-1,qc:V,100,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,88.59935257199315,unit:percent,qc:C,16090,unit:m,qc:C,24.768983094935436,unit:degC,qc:V
KGIF,1563655320,28.06138,-81.75684,NA,unit:degC,qc:Z,NA,unit:degC,qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,NA,unit:Pa,qc:Z,NA,unit:Pa,qc:Z,NA,unit:percent,qc:C,16090,unit:m,qc:C,NA,unit:degC,qc:V
KZPH,1563654900,28.2281,-82.1559,32.900000000000034,unit:degC,qc:V,22.900000000000034,unit:degC,qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,11.3,unit:m_s-1,qc:S,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,55.781642689441334,unit:percent,qc:C,16090,unit:m,qc:C,37.83737654178958,unit:degC,qc:V
KVDF,1563654900,28.01983,-82.3415,31,unit:degC,qc:V,23,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,62.497648839725294,unit:percent,qc:C,16090,unit:m,qc:C,35.48413286559213,unit:degC,qc:V
KTPF,1563654900,27.91556,-82.44917,34,unit:degC,qc:V,24,unit:degC,qc:V,2.1,unit:m_s-1,qc:V,220,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,56.045143115119764,unit:percent,qc:C,16090,unit:m,qc:C,40.582129488023725,unit:degC,qc:V
KMCF,1563653940,27.85,-82.5,33,unit:degC,qc:V,23,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101690,unit:Pa,qc:V,55.805678441189116,unit:percent,qc:C,16090,unit:m,qc:C,38.07556341958565,unit:degC,qc:V
KTPA,1563655140,27.96139,-82.54028,30,unit:degC,qc:V,20.600000000000023,unit:degC,qc:V,4.1,unit:m_s-1,qc:V,10,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,57.157052096788775,unit:percent,qc:C,16090,unit:m,qc:C,32.28211096821269,unit:degC,qc:V
KISM,1563653220,28.28972,-81.43722,25,unit:degC,qc:V,22,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,83.45262666598398,unit:percent,qc:C,16090,unit:m,qc:C,25.734596362945126,unit:degC,qc:V
KSPG,1563654540,27.7676,-82.62633,33.30000000000001,unit:degC,qc:V,23.30000000000001,unit:degC,qc:V,2.1,unit:m_s-1,qc:V,100,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,55.87768816383458,unit:percent,qc:C,16090,unit:m,qc:C,38.80369242405135,unit:degC,qc:V
KPIE,1563654900,27.91259,-82.68554,30.600000000000023,unit:degC,qc:V,22.200000000000045,unit:degC,qc:V,3.6,unit:m_s-1,qc:V,310,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,60.911053217554866,unit:percent,qc:C,16090,unit:m,qc:C,34.22486499493425,unit:degC,qc:V
KBKV,1563654300,28.47361,-82.45444,31.700000000000045,unit:degC,qc:V,24.400000000000034,unit:degC,qc:V,3.6,unit:m_s-1,qc:V,270,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,65.3390532792685,unit:percent,qc:C,16090,unit:m,qc:C,37.994541381300905,unit:degC,qc:V
KMCO,1563654240,28.41826,-81.32413,26.700000000000045,unit:degC,qc:V,22.200000000000045,unit:degC,qc:V,2.6,unit:m_s-1,qc:V,220,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,76.3819922764609,unit:percent,qc:C,16090,unit:m,qc:C,28.81582035079299,unit:degC,qc:V
KSRQ,1563654600,27.40139,-82.55861,32.200000000000045,unit:degC,qc:V,23.900000000000034,unit:degC,qc:V,6.2,unit:m_s-1,qc:V,270,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,61.63719881412479,unit:percent,qc:C,16090,unit:m,qc:C,38.06745467398298,unit:degC,qc:V
KORL,1563652380,28.54655,-81.33543,31.100000000000023,unit:degC,qc:V,20.600000000000023,unit:degC,qc:V,4.1,unit:m_s-1,qc:V,150,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101760,unit:Pa,qc:V,53.66988441326319,unit:percent,qc:C,16090,unit:m,qc:C,33.55655664093183,unit:degC,qc:V
KLEE,1563655980,28.82142,-81.80964,30.600000000000023,unit:degC,qc:V,21.700000000000045,unit:degC,qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101690,unit:Pa,qc:V,59.08123488638969,unit:percent,qc:C,16090,unit:m,qc:C,33.80623691689641,unit:degC,qc:V
KINF,1563656100,28.8086,-82.3165,28,unit:degC,qc:V,27,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,94.31541564210072,unit:percent,qc:C,16090,unit:m,qc:C,34.52577634122821,unit:degC,qc:V
KVVG,1497270600,28.96667,-81.9666699,NA,unit:degC,qc:Z,NA,unit:degC,qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degree_(angle),qc:Z,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,NA,unit:Pa,qc:Z,NA,unit:Pa,qc:Z,NA,unit:percent,qc:C,16090,unit:m,qc:C,NA,unit:degC,qc:V
KVNC,1563656100,27.0716,-82.44033,NA,unit:degC,qc:Z,20,unit:degC,qc:V,0,unit:m_s-1,qc:V,0,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,NA,unit:percent,qc:C,4830,unit:m,qc:C,NA,unit:degC,qc:V
KCGC,1563656100,28.8673,-82.5712999,NA,unit:degC,qc:Z,21,unit:degC,qc:V,1.5,unit:m_s-1,qc:V,220,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,NA,unit:percent,qc:C,2820,unit:m,qc:C,NA,unit:degC,qc:V
KSFB,1563652380,28.78333,-81.25,33.30000000000001,unit:degC,qc:V,21.100000000000023,unit:degC,qc:V,4.1,unit:m_s-1,qc:V,170,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,101700,unit:Pa,qc:V,48.87226911817742,unit:percent,qc:C,16090,unit:m,qc:C,36.566085715111285,unit:degC,qc:V
KPGD,1563655260,26.91778,-81.99361,23.30000000000001,unit:degC,qc:V,22.80000000000001,unit:degC,qc:V,4.1,unit:m_s-1,qc:V,170,unit:degree_(angle),qc:V,NA,unit:m_s-1,qc:Z,NA,unit:degC,qc:V,unit:Pa,unit:Pa,qc:V,NA,unit:Pa,qc:Z,97.02033049825884,unit:percent,qc:C,12870,unit:m,qc:C,24.21886418523229,unit:degC,qc:V
