period.number,period.name,period.start.time,period.end.time,period.is.daytime,period.temperature,period.temperature.unit,period.wind.speed,period.wind.direction,period.short.forecast,period.detailed.forecast
1,This Afternoon,1563652800,1563660000,TRUE,92,F,3 mph,SE,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms before 5pm, then a chance of showers and thunderstorms. Partly sunny. High near 92, with temperatures falling to around 87 in the afternoon. Heat index values as high as 104. Southeast wind around 3 mph. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
2,Tonight,1563660000,1563703200,FALSE,74,F,2 to 6 mph,ESE,Chance Showers And Thunderstorms then Scattered Showers And Thunderstorms,"A chance of showers and thunderstorms before 8pm, then scattered showers and thunderstorms between 8pm and 2am. Mostly cloudy, with a low around 74. East southeast wind 2 to 6 mph. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
3,Sunday,1563703200,1563746400,TRUE,92,F,2 to 6 mph,ESE,Mostly Sunny then Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms between 2pm and 5pm, then a chance of showers and thunderstorms. Mostly sunny. High near 92, with temperatures falling to around 87 in the afternoon. Heat index values as high as 104. East southeast wind 2 to 6 mph. Chance of precipitation is 60%. New rainfall amounts between a tenth and quarter of an inch possible."
4,Sunday Night,1563746400,1563789600,FALSE,74,F,1 to 5 mph,SE,Chance Showers And Thunderstorms then Isolated Showers And Thunderstorms,"A chance of showers and thunderstorms before 8pm, then isolated showers and thunderstorms between 8pm and 2am. Mostly cloudy, with a low around 74. Southeast wind 1 to 5 mph. Chance of precipitation is 60%."
5,Monday,1563789600,1563832800,TRUE,92,F,3 mph,SSE,Isolated Showers And Thunderstorms,"Isolated showers and thunderstorms between 8am and 2pm, then a chance of showers and thunderstorms. Mostly sunny, with a high near 92. South southeast wind around 3 mph. Chance of precipitation is 50%."
6,Monday Night,1563832800,1563876000,FALSE,74,F,0 to 3 mph,ESE,Chance Showers And Thunderstorms then Isolated Showers And Thunderstorms,"A chance of showers and thunderstorms before 8pm, then isolated showers and thunderstorms between 8pm and 2am. Partly cloudy, with a low around 74. East southeast wind 0 to 3 mph. Chance of precipitation is 50%."
7,Tuesday,1563876000,1563919200,TRUE,91,F,0 to 6 mph,SSW,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms between 8am and 2pm, then a chance of showers and thunderstorms. Mostly sunny, with a high near 91. South southwest wind 0 to 6 mph. Chance of precipitation is 60%."
8,Tuesday Night,1563919200,1563962400,FALSE,75,F,1 to 5 mph,SW,Chance Showers And Thunderstorms then Isolated Showers And Thunderstorms,"A chance of showers and thunderstorms before 8pm, then isolated showers and thunderstorms between 8pm and 2am. Mostly cloudy, with a low around 75. Southwest wind 1 to 5 mph. Chance of precipitation is 60%."
9,Wednesday,1563962400,1564005600,TRUE,90,F,1 to 8 mph,WSW,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms between 8am and 2pm, then a chance of showers and thunderstorms. Mostly sunny, with a high near 90. West southwest wind 1 to 8 mph. Chance of precipitation is 60%."
10,Wednesday Night,1564005600,1564048800,FALSE,74,F,1 to 7 mph,SW,Chance Showers And Thunderstorms then Scattered Showers And Thunderstorms,"A chance of showers and thunderstorms before 8pm, then scattered showers and thunderstorms between 8pm and 2am. Partly cloudy, with a low around 74. Chance of precipitation is 60%."
11,Thursday,1564048800,1564092000,TRUE,90,F,1 to 7 mph,SW,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms after 8am. Partly sunny, with a high near 90. Chance of precipitation is 50%."
12,Thursday Night,1564092000,1564135200,FALSE,74,F,0 to 5 mph,SW,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms before 2am. Partly cloudy, with a low around 74. Chance of precipitation is 50%."
13,Friday,1564135200,1564178400,TRUE,92,F,2 mph,SSW,Scattered Showers And Thunderstorms,"Scattered showers and thunderstorms between 8am and 2pm, then a chance of showers and thunderstorms. Mostly sunny, with a high near 92. Chance of precipitation is 60%."
14,Friday Night,1564178400,1564221600,FALSE,74,F,2 mph,ESE,Chance Showers And Thunderstorms then Isolated Showers And Thunderstorms,"A chance of showers and thunderstorms before 8pm, then isolated showers and thunderstorms between 8pm and 2am. Mostly cloudy, with a low around 74. Chance of precipitation is 60%."
