period.number,period.name,period.start.time,period.end.time,period.is.daytime,period.temperature,period.temperature.unit,period.wind.speed,period.wind.direction,period.short.forecast,period.detailed.forecast
1,,1563652800,1563656400,TRUE,92,F,2 mph,SE,Scattered Showers And Thunderstorms,
2,,1563656400,1563660000,TRUE,87,F,3 mph,SE,Chance Showers And Thunderstorms,
3,,1563660000,1563663600,FALSE,83,F,6 mph,SE,Chance Showers And Thunderstorms,
4,,1563663600,1563667200,FALSE,80,F,3 mph,E,Chance Showers And Thunderstorms,
5,,1563667200,1563670800,FALSE,78,F,3 mph,E,Scattered Showers And Thunderstorms,
6,,1563670800,1563674400,FALSE,77,F,2 mph,E,Scattered Showers And Thunderstorms,
7,,1563674400,1563678000,FALSE,77,F,2 mph,ESE,Scattered Showers And Thunderstorms,
8,,1563678000,1563681600,FALSE,77,F,2 mph,ESE,Isolated Showers And Thunderstorms,
9,,1563681600,1563685200,FALSE,76,F,2 mph,E,Isolated Showers And Thunderstorms,
10,,1563685200,1563688800,FALSE,76,F,2 mph,E,Isolated Showers And Thunderstorms,
11,,1563688800,1563692400,FALSE,75,F,2 mph,E,Partly Cloudy,
12,,1563692400,1563696000,FALSE,75,F,2 mph,E,Mostly Clear,
13,,1563696000,1563699600,FALSE,75,F,2 mph,E,Mostly Clear,
14,,1563699600,1563703200,FALSE,75,F,2 mph,E,Mostly Clear,
15,,1563703200,1563706800,TRUE,74,F,2 mph,E,Sunny,
16,,1563706800,1563710400,TRUE,74,F,2 mph,E,Mostly Sunny,
17,,1563710400,1563714000,TRUE,76,F,2 mph,E,Sunny,
18,,1563714000,1563717600,TRUE,81,F,5 mph,SE,Sunny,
19,,1563717600,1563721200,TRUE,84,F,5 mph,SE,Sunny,
20,,1563721200,1563724800,TRUE,86,F,6 mph,SE,Sunny,
21,,1563724800,1563728400,TRUE,88,F,5 mph,SE,Sunny,
22,,1563728400,1563732000,TRUE,89,F,5 mph,SE,Sunny,
23,,1563732000,1563735600,TRUE,92,F,3 mph,SE,Scattered Showers And Thunderstorms,
24,,1563735600,1563739200,TRUE,92,F,2 mph,SE,Scattered Showers And Thunderstorms,
25,,1563739200,1563742800,TRUE,92,F,3 mph,SE,Scattered Showers And Thunderstorms,
26,,1563742800,1563746400,TRUE,87,F,5 mph,SE,Chance Showers And Thunderstorms,
27,,1563746400,1563750000,FALSE,85,F,5 mph,SE,Chance Showers And Thunderstorms,
28,,1563750000,1563753600,FALSE,82,F,5 mph,SE,Chance Showers And Thunderstorms,
29,,1563753600,1563757200,FALSE,78,F,3 mph,SE,Isolated Showers And Thunderstorms,
30,,1563757200,1563760800,FALSE,79,F,2 mph,SE,Isolated Showers And Thunderstorms,
31,,1563760800,1563764400,FALSE,77,F,2 mph,SE,Isolated Showers And Thunderstorms,
32,,1563764400,1563768000,FALSE,77,F,1 mph,SE,Isolated Showers And Thunderstorms,
33,,1563768000,1563771600,FALSE,76,F,1 mph,SE,Isolated Showers And Thunderstorms,
34,,1563771600,1563775200,FALSE,76,F,1 mph,SE,Isolated Showers And Thunderstorms,
35,,1563775200,1563778800,FALSE,76,F,2 mph,SE,Partly Cloudy,
36,,1563778800,1563782400,FALSE,75,F,1 mph,SE,Partly Cloudy,
37,,1563782400,1563786000,FALSE,75,F,1 mph,SE,Partly Cloudy,
38,,1563786000,1563789600,FALSE,74,F,1 mph,SE,Partly Cloudy,
39,,1563789600,1563793200,TRUE,75,F,1 mph,SE,Mostly Sunny,
40,,1563793200,1563796800,TRUE,75,F,1 mph,SE,Mostly Sunny,
41,,1563796800,1563800400,TRUE,76,F,1 mph,SE,Isolated Showers And Thunderstorms,
42,,1563800400,1563804000,TRUE,79,F,2 mph,SE,Isolated Showers And Thunderstorms,
43,,1563804000,1563807600,TRUE,83,F,2 mph,SE,Isolated Showers And Thunderstorms,
44,,1563807600,1563811200,TRUE,86,F,3 mph,SE,Isolated Showers And Thunderstorms,
45,,1563811200,1563814800,TRUE,87,F,3 mph,SSE,Isolated Showers And Thunderstorms,
46,,1563814800,1563818400,TRUE,88,F,3 mph,S,Isolated Showers And Thunderstorms,
47,,1563818400,1563822000,TRUE,89,F,2 mph,S,Chance Showers And Thunderstorms,
